name,description
Williamson, Came down to the Department of Mysteries with Fudge after the fight in there had happened in Book 5. He wore scarlet robes and his hair in a ponytail.
Heliotrope Willis, Witch; leader of the Troll Rights Movement
Gilbert Wimple, Ministry wizard in the Committe on Experimental Charms
Winky," The house elf that was let go by Barty Crouch Sr. after failing her job to keep his criminal son in their tent at the Quidditch world cup. She then went to work in the Hogwarts kitchens. She is a friend of Dobby who is always upset and drunk, due to her depression in the death of her masters and being released."
Herman Wintringham, Plays lute in the wizarding band the Weird Sisters.
Lord Stoddard Withers," A breeder of flying horses He tried to create a sport between quidditch and polo played on horses, but it never became popular."
Oliver Wood," A Gryffindor boy 4 years older than Harry. He was the captain of the Gryffindor quidditch team from books 1 through 4, and played keeper. Once he graduated from Hogwarts, he signed onto the Puddlemere United reserve team."
Augustus Worme, Editor at Obscurus Books who published Newt Scamander’s book Fantastic Beasts and where to Find Them.
Wormtail," The name that Peter Pettigrew’s friends called him at Hogwarts, and what Voldemort calls him now (See Pettigrew, Peter)."
Eldred Worple, An old friend of Slughorn who is the author of Blood Brothers: My Life Amongst the Vampires. He was at one the parties that Slughorn threw.
Bowman Wright, Created the golden snitch.
Josef Wronski, A Polish seeker who invented the Wronski Feint.
Yaxley, A death eater who was never sent to Azkaban.
Lysandra Yaxley, Wife of Arcturus Black who lived 1884
Cyprian Youdle, A referee who was killed during a Quidditch match by a member of the crowd.
Yvonne, A friend of Mr. Durlsey’s who Mrs. Dursley said they should call to watch Harry in book 1.
Blaise Zabini," A Slytherin boy in Harry’s year who, when Slughorn was complimenting Harry and saying that he had great power, coughed sarcastically. Ginny then yelled at him saying, “Yeah, Zabini, because you’re so talented…at posing…”. His mother was famous for being beautiful and marrying 7 times; each to a witch wizard who died of a mysterious death. He does not like muggle borns or blood traitors either, like Draco Malfoy."
Zabini, Was famous for being beautiful and marrying 7 times; each to a witch wizard who died of a mysterious death. The mother of Blaise Zabini.
Ladislaw Zamojski, A Polish chaser that Ron was compared to from one of his saves (comparison from Zamojski as chaser to Ryan from the Irish National Quidditch team as keeper).
Rose Zeller, A girl sorted into Hufflepuff in Book 5.
Zograf, Keeper for the Bulgarian National Quidditch Team.
